method,metric,analysis_role,circular,animal_id,sex,tissue,value,n_recordings_collapsed,n_anatomical_units_collapsed,recording_ids
CWT_pyBOAT,pre_period_hours,primary,False,20250811_2M,M,DRG,24.843061461151834,8,8,2C-2ML1 | 4A-2MT10 | 4C-2MT5 | 5A-2ML2 | 6B-2ML3 | 7D-2MT12 | 8C-2ML4 | 8D-2MT7
CWT_pyBOAT,pre_period_hours,primary,False,20250811_1F,F,DRG,26.049126752644263,8,7,2D-1FL2 | 3A-1FL4 | 3D-1FT10 | 4D-1FL4 | 5C-1FT7 | 6A-1FL1 | 7C-1FT12 | 8A-1FT5
CWT_pyBOAT,pre_period_hours,primary,False,20251003_M1,M,SCN,24.63028428857567,1,1,2A- M1SCn
CWT_pyBOAT,pre_period_hours,primary,False,20251003_M1,M,DRG,24.072881891977293,3,3,2B- 1MT7 | 2C- M1L1 | 2D- M1L4
CWT_pyBOAT,pre_period_hours,primary,False,20251003_M2,M,SCN,31.9999999999999,1,1,4A- M2SCN
CWT_pyBOAT,pre_period_hours,primary,False,20251003_M3,M,SCN,24.941701514565757,1,1,4B-M3SCN
CWT_pyBOAT,post_period_hours,descriptive,False,20250703_m2,F,DRG,24.424640685947146,8,7,1B-L1m2 | 1D-L2m2 | 2C-L3m2 | 2D-L4m2 | 3A-L5m2 | 3B-T10m2 | 4B-T12m2 | 5B-T12m2
CWT_pyBOAT,post_period_hours,descriptive,False,20250626_M1,M,SCN,25.814456899883957,1,1,1C-SCN
CWT_pyBOAT,post_period_hours,descriptive,False,20250703_m1,F,DRG,24.941947499736365,6,6,4C-T5m1 | 4D-T7m1 | 5A-T10m1 | 8B-L2m1 | 8C-L3m1 | 8D-L4-1m1
CWT_pyBOAT,post_period_hours,descriptive,False,20250626_M1,M,DRG,25.175879396984847,7,7,5C-T12 | 5D-T10 | 6A-T7 | 6B-T5 | 7C-L1 | 7D-L2 | 8A-L3
CWT_pyBOAT,post_period_hours,descriptive,False,20250703_m1,F,SCN,24.513687317707344,1,1,6C-SCNmm1
CWT_pyBOAT,post_period_hours,descriptive,False,20250703_m2,F,SCN,26.49214604490978,2,2,7A-SCNmm2 | 7B-SCNcm2
CWT_pyBOAT,post_period_hours,descriptive,False,20250728_M1,F,SCN,25.2814070351758,2,2,6A-SCNrM1 | 7A-SCNcM1
CWT_pyBOAT,post_period_hours,descriptive,False,20250728_M2,F,SCN,24.97343360157423,2,2,6B-SCNrM2 | 7B-SCNcM2
CWT_pyBOAT,post_period_hours,descriptive,False,20250811_1F,F,SCN,24.887584777031936,1,1,1A-1FSCN
CWT_pyBOAT,post_period_hours,descriptive,False,20250811_2M,M,SCN,25.100115964437496,1,1,1B-2MSCN
CWT_pyBOAT,post_period_hours,descriptive,False,20250811_3F,F,SCN,25.738693467336603,1,1,1C-3FSCN
CWT_pyBOAT,post_period_hours,descriptive,False,20250811_4F,F,SCN,25.198510032680808,1,1,1D-4FSCN
